user_id,user_paid,user_registered,onboarded,subscription_type,completed_date,onboarding_country,onboarding_heard_from_label,onboarding_goals_label,onboarding_learn_label
462370,Paid,1/1/2023,Onboarded,Monthly,1/1/2023,India,Instagram,Other,Specialized advanced topics
462426,Paid,1/1/2023,Onboarded,Annual,1/1/2023,United States of America,Youtube,I want to become a data scientist.,Data analysis and data visualization
462441,Paid,1/1/2023,Onboarded,Annual,1/1/2023,United States of America,Youtube,I want to earn a higher salary.,Business analysis
462449,Paid,1/1/2023,Onboarded,Annual,1/1/2023,Spain,Other,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462467,Paid,1/1/2023,Onboarded,Annual,5/25/2023,Egypt,Facebook,I want to join an industry-leading company.,Machine and deep learning
462473,Paid,1/1/2023,Onboarded,Annual,1/1/2023,Poland,Youtube,,Introduction to the world of data and data science
462474,Paid,1/1/2023,Onboarded,Monthly,1/1/2023,South Africa,Youtube,I want to become a data scientist.,Data analysis and data visualization
462484,Paid,1/2/2023,Onboarded,Monthly,1/2/2023,United States of America,Youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462488,Paid,1/2/2023,Onboarded,Monthly,1/2/2023,United Kingdom,Facebook,I want to join an industry-leading company.,Machine and deep learning
462489,Paid,1/2/2023,Onboarded,Annual,1/2/2023,United States of America,Multiple_Sources,,Introduction to the world of data and data science
462514,Paid,1/2/2023,Onboarded,Annual,1/2/2023,South Africa,Google,I want to earn a higher salary.,Business analysis
462541,Paid,1/2/2023,Onboarded,Annual,1/2/2023,United States of America,Youtube,I want to join an industry-leading company.,Machine and deep learning
462585,Paid,1/2/2023,Onboarded,Monthly,1/2/2023,India,Youtube,I want to join an industry-leading company.,Machine and deep learning
462624,Paid,1/2/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
462643,Paid,1/2/2023,Onboarded,Annual,1/2/2023,Egypt,Friend,I want to improve my data skills.,Introduction to the world of data and data science
462667,Paid,1/2/2023,Onboarded,Annual,1/2/2023,Estonia,Youtube,I want to become a data scientist.,Data analysis and data visualization
462670,Paid,1/2/2023,Not-Onboarded,Quarterly,,,Multiple_Sources,,
462672,Paid,1/2/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
462697,Paid,1/2/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
462703,Paid,1/2/2023,Onboarded,Monthly,1/2/2023,United Kingdom,Youtube,,Introduction to the world of data and data science
462720,Paid,1/2/2023,Onboarded,Monthly,1/2/2023,Jamaica,Youtube,I want to become a data scientist.,Data analysis and data visualization
462746,Paid,1/3/2023,Not-Onboarded,Monthly,,,Multiple_Sources,,
462769,Free,1/3/2023,Not-Onboarded,,,,Multiple_Sources,,
462823,Paid,1/3/2023,Onboarded,Annual,1/3/2023,South Africa,Linkedin,I want to join an industry-leading company.,Machine and deep learning
462826,Paid,1/3/2023,Onboarded,Monthly,1/3/2023,Armenia,Youtube,Other,Specialized advanced topics
462852,Paid,1/3/2023,Onboarded,Monthly,1/3/2023,Botswana,Youtube,I want to join an industry-leading company.,Machine and deep learning
462855,Paid,1/3/2023,Onboarded,Annual,1/3/2023,United Kingdom,Youtube,I want to become a data scientist.,Data analysis and data visualization
462884,Paid,1/3/2023,Onboarded,Annual,1/3/2023,Kenya,Friend,,Introduction to the world of data and data science
462890,Paid,1/3/2023,Not-Onboarded,Annual,,,Multiple_Sources,,
462919,Paid,1/3/2023,Onboarded,Annual,1/3/2023,United States of America,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
462925,Free,1/3/2023,Not-Onboarded,,,,Multiple_Sources,,
462928,Paid,1/3/2023,Onboarded,Annual,1/3/2023,Poland,Youtube,I want to become a data scientist.,Data analysis and data visualization
462930,Paid,1/3/2023,Onboarded,Annual,1/7/2023,United States of America,Youtube,I want to improve my data skills.,Introduction to the world of data and data science
